silver-infovis-topics--userH.txt,lda_25_0.0001_0.01,Score
H03,13,0.0034033832590409695
H03,14,0.008119806423662038
H03,11,0.007576967425316635
H03,12,0.009658655318897782
H03,21,0.9317016802549463
H03,20,0.062141120617290393
H03,22,0.008048359846134626
H03,23,0.008144275184647025
H03,24,0.6674910838333431
H03,3,0.005318272909163575
H03,2,0.013978864283770097
H03,10,0.024896166997504125
H03,1,0.0019365021458564913
H03,0,0.01290863149697454
H03,7,0.016592105480209497
H03,6,0.005192048053911346
H03,5,0.0381793929640397
H03,4,0.004867271597587405
H03,9,0.0037550440259916554
H03,8,0.08164069634103648
H12,19,0.0011799969764489165
H12,17,0.02499623000696173
H12,18,0.00433113162541387
H12,15,0.008121792995706232
H12,16,0.0014021858186053981
H12,13,0.656270083380173
H12,14,0.016618418776541768
H12,11,0.040324511449652836
H12,12,0.004203551749330857
H12,21,0.00963816096700627
H12,20,0.03787927719863269
H12,22,8.381605586114257E-4
H12,23,0.006152183928806958
H12,24,0.0011639524457362112
H12,3,0.3953548551998636
H12,2,0.0025249970192708225
H12,10,0.005879185731061125
H12,1,0.002031549867088203
H12,0,0.013502051231833814
H12,7,0.0015147503457219223
H12,6,0.0019354076672006807
H12,5,0.02171678352993888
H12,4,0.0030901431848788276
H12,9,0.04377789295242328
H12,8,0.009306639108232395
H10,19,0.4341502301985178
H10,17,9.205281220535819E-4
H10,18,0.004525906104446107
H10,15,0.006579239546691437
H10,16,0.0028251334283063653
H10,13,0.0014132006536694444
H10,14,9.763403822102381E-4
H10,11,0.001589019541922911
H10,12,0.005998553752491127
H10,21,0.012605400105116253
H10,20,0.035766708378651584
H10,22,0.004906292828490244
H10,23,0.6329264978082605
H10,24,0.00801320977069661
H10,3,0.00271981069629082
H10,2,0.0023333853055990876
H10,10,0.01877229060601712
H10,1,8.081383660832125E-4
H10,0,0.0018723667268634998
H10,7,0.00146508730469849
H10,6,0.007290429318060938
H10,5,0.043519016917254356
H10,4,0.01502245408509107
H10,9,0.0034146018459332104
H10,8,0.06032263173251453
