silver-infovis-topics--userC.txt,lda_35_0.001_0.0001,Score
C13,10,0.0011045357161768572
C13,1,0.010069414944905042
C13,0,0.0012946114096290548
C13,7,0.007373973726419403
C13,30,3.495582118427673E-4
C13,6,0.07196445989486218
C13,5,8.633650002410669E-4
C13,32,0.0021727360415502344
C13,4,0.0022717656493493584
C13,31,9.04416727232535E-4
C13,9,0.0012124916762516495
C13,8,0.0012467106919670477
C14,19,0.0024424626698642785
C14,17,0.0027413769377660673
C14,18,0.12126598429233174
C14,33,0.0011656868519389772
C14,15,0.0025619354349934093
C14,34,0.0034736890460090202
C14,16,6.686802654884588E-5
C14,13,0.0011352974261785603
C14,14,0.0017818941033470963
C14,11,7.425372101121193E-4
C14,12,8.086894431711371E-4
C14,21,9.285897143040411E-4
C14,20,4.297718611888129E-4
C14,22,0.23327736055623371
C14,23,0.0017983941322691872
C14,24,7.711647277469091E-4
C14,25,2.1950113707221145E-4
C14,26,3.448628239674133E-4
C14,27,0.0013314786156436542
C14,28,0.6526757275851873
C14,29,6.668759316745122E-4
C14,3,8.228199098867327E-4
C14,2,2.799878838156689E-4
C14,10,0.001614067952705323
C14,1,0.0011146784773740498
C14,0,0.0022737923485154636
C14,7,9.687752859516253E-4
C14,30,3.009844733474385E-4
C14,6,0.0016735897926544849
C14,5,4.585009077977912E-4
C14,32,4.3715951437462466E-4
C14,4,0.0022003034564865285
C14,31,3.1445550004870725E-4
C14,9,3.900888158673706E-4
C14,8,0.0028982733320576967
C01,19,0.0014988172343799496
C01,17,0.0017683467543529088
C01,18,0.0022884130538554813
C01,33,0.0012657458824111502
C01,15,0.011538237947173931
C01,34,0.0016618419954512454
C01,16,0.23475226576552302
C01,13,0.010807176954097537
C01,14,0.009797595872708125
C01,11,0.0013709199632255618
C01,12,0.011485380378332296
C01,21,0.0026436379058226685
C01,20,0.006129773123308931
C01,22,0.001108676019207483
C01,23,0.0024351350948384554
C01,24,0.001373377630471105
C01,25,4.98485012795444E-4
C01,26,0.9956476822127941
C01,27,9.42213956414353E-4
C01,28,0.10150910797348948
C01,29,0.0021557814204316776
C01,3,0.0017796497301299137
C01,2,0.20905633489459927
C01,10,0.001602336680377743
C01,1,8.21965460750033E-4
C01,0,0.0014987801521663359
C01,7,7.962219463872269E-4
C01,30,0.05020625029899439
C01,6,0.011196549592389986
C01,5,7.214501890391994E-4
C01,32,0.002604885604245451
C01,4,0.0023034909692245995
C01,31,5.809026283436271E-4
C01,9,0.11042809148864816
C01,8,0.0012657435780825453
C20,19,9.978500739753918E-4
C20,17,0.8273319732699494
C20,18,0.0021260353846306434
C20,33,0.001756415392378705
C20,15,0.0030804598405563773
C20,34,0.0012727727108901607
C20,16,4.560886930687162E-4
C20,13,0.001658283001990616
C20,14,1.8723363929681332E-4
C20,11,0.0010359806102720746
C20,12,5.99690847327524E-4
C20,21,0.004678362983456925
C20,20,0.02395040011534068
C20,22,0.011409182209902047
C20,23,0.0019928764668178576
C20,24,0.01594043341752433
C20,25,0.005692118810465987
C20,26,0.002870398402064502
C20,27,0.0010118456901079354
C20,28,8.782141105598082E-4
C20,29,0.0025081060673190518
C20,3,6.534982356180741E-4
C20,2,3.5900960765394586E-4
C20,10,0.002343021591527354
C20,1,7.290580814362072E-4
C20,0,0.055551526459697916
C20,7,0.00137961595475176
C20,30,6.180369544169989E-4
C20,6,0.0010138202169411325
C20,5,0.011865244513303208
C20,32,0.4681305978944661
C20,4,0.0012488818024335162
C20,31,8.11048327094658E-4
C20,9,0.011772205517805766
C20,8,0.04546387196184256
C15,19,0.0011873374328958005
C15,17,0.0011454770774866792
C15,18,0.001450884184987141
C15,33,0.0018391021427665063
C15,15,0.0018051334530983074
C15,34,0.0027106558085658763
C15,16,0.004235874246989754
C15,13,7.629438319392368E-4
C15,14,4.22240149024368E-4
C15,11,0.006372938519957712
C15,12,2.3302675364169828E-4
C15,21,0.002619271676372423
C15,20,0.001477902567875296
C15,22,0.004377995667435141
C15,23,0.001513331156116924
C15,24,0.0015714468567952738
C15,25,2.1529835688531692E-4
C15,26,5.280698850685701E-4
C15,27,0.1461480161058824
C15,28,0.001765531891873016
C15,29,8.161638466755939E-4
C15,3,0.011122866984976242
C15,2,9.971874641341782E-4
C15,10,0.0018854748189098022
C15,1,0.08610042829159818
C15,0,0.004554071769718033
C15,7,5.146397452946988E-4
C15,30,7.613039614987919E-4
C15,6,0.0019044951087508297
C15,5,0.0035881241031715007
C15,32,0.004028296971380062
C15,4,0.0028513831023305658
C15,31,0.00276856647221095
C15,9,4.651359032512665E-4
C15,8,0.00180210088930816
C02,19,0.028680495154234285
C02,17,0.13027429338257768
C02,18,0.005995468879901764
C02,33,0.002096995949743613
C02,15,0.005736561030087731
C02,34,0.0029607599776954223
C02,16,7.410973589564498E-4
C02,13,9.170556495939761E-4
C02,14,0.012262033190072488
C02,11,0.0018654805071649432
C02,12,0.002307041617536186
C02,21,0.0031658465512756297
C02,20,0.9867497962198243
C02,22,0.0038878768212820686
C02,23,0.0029243203640576
C02,24,0.006660673102143166
C02,25,0.009922688313552995
C02,26,9.752662210356859E-4
C02,27,0.0013410460456998255
C02,28,0.0017041483581546708
C02,29,0.001994516945786794
C02,3,5.326186695188848E-4
C02,2,2.4220809890046873E-4
C02,10,0.053421185119792415
C02,1,0.00229801220538836
C02,0,0.007002029484300428
C02,7,0.014880195558809465
C02,30,3.902396179414956E-4
C02,6,0.002671870169803262
C02,5,0.4340186079708819
C02,32,0.0020111797335683242
C02,4,0.005868408114108567
C02,31,0.0200650772352463
C02,9,0.30460772564466726
C02,8,0.006108564902684409
