silver-infovis-topics--userG.txt,lda_50_0.0001_0.1,Score
G04,45,4.391477053432069E-4
G04,44,0.005417862867099036
G04,47,0.0020158798070639924
G04,46,0.01277984108692294
G04,10,0.0014585856817969146
G13,35,8.577217430314073E-4
G13,36,3.978170521529798E-4
G13,33,0.002134060075227087
G13,34,0.7976684192883671
G13,39,0.0012316077966638952
G13,37,0.0016892277848732575
G13,38,0.0017980367519613517
G13,43,8.493438100067892E-4
G13,42,0.002351040730664124
G13,41,0.038024180567836685
G13,40,0.0013608755087470847
G13,22,0.0038798058822911824
G13,23,0.0025769847269061313
G13,24,0.0012911456382658402
G13,25,0.0023260075878845533
G13,26,7.594350185632878E-4
G13,27,8.883726321074305E-4
G13,28,0.0022194774119219615
G13,29,0.0011296970932042575
G13,3,0.0033084539972758303
G13,2,8.721168682605967E-4
G13,1,0.001960840822906462
G13,0,0.04688313524986467
G13,30,0.004181520241566037
G13,7,9.974380465849382E-4
G13,6,0.06911405344455909
G13,32,9.982516534683207E-5
G13,5,0.0026978009360140716
G13,31,0.018030545670652882
G13,4,0.021588801826137902
G13,9,7.395911285671768E-4
G13,8,0.0012811510224129677
G13,19,0.0033870229752699455
G13,17,0.0018073181605680097
G13,18,0.010989107236030336
G13,15,0.0022113883340403764
G13,16,0.0011053179969106788
G13,13,0.001041784613970607
G13,14,0.10606163281808308
G13,11,0.0013418936453153413
G13,12,0.0726080388319348
G13,21,0.0015209770727614383
G13,20,0.0017366293574063594
G13,49,0.010599639551165514
G13,48,0.0016873057943893233
G13,45,0.0019339890511966972
G13,44,0.38729054032967
G13,47,7.232328682004575E-4
G13,46,0.0044438233278191516
G13,10,0.0015189182384490504
G03,35,0.0014032150500992114
G03,36,0.0016109575598798227
G03,33,0.0011965217238503589
G03,34,0.0015029088363240468
G03,39,0.0010197779270533188
G03,37,0.0013496397504410324
G03,38,7.803438330507106E-4
G03,43,0.010465502926805113
G03,42,0.017736301529447794
G03,41,0.029636362271726474
G03,40,0.015330509522560737
G03,22,0.005369386883689554
G03,23,0.001082036598001625
G03,24,0.001896518962067497
G03,25,0.0010431591963740528
G03,26,0.0013875787286587937
G03,27,6.114806212632464E-4
G03,28,9.156456480849354E-4
G03,29,0.0010869747285461324
G03,3,0.001630291580220382
G03,2,0.0022252257978657296
G03,1,0.039420649710163284
G03,0,0.004346063692678446
G03,30,0.00773586760223773
G03,7,0.21168595528669046
G03,6,0.008016801063447722
G03,32,7.671047819479495E-4
G03,5,0.001744448873491453
G03,31,0.15931601448341473
G03,4,0.03577719903682669
G03,9,0.001445229959793632
G03,8,6.334011936970411E-4
G03,19,0.004400766141933296
G03,17,0.0016703351112971904
G03,18,0.9700233798927739
G03,15,0.004112196818183987
G03,16,0.0019557376114203604
G03,13,0.005234005395355871
G03,14,0.18391970906027436
G03,11,0.11218857838801435
G03,12,0.14678770612188727
G03,21,0.012746501588816435
G03,20,0.003620427287353267
G03,49,0.02038912075149071
G03,48,0.0033239022510954427
G03,45,0.3869608348198371
G03,44,0.004983223265812356
G03,47,0.04616959637957853
G03,46,0.4658049595985295
G03,10,0.002079520040080459
G12,35,6.904248864615897E-4
G12,36,5.777718995976435E-4
G12,33,7.689257695950957E-4
G12,34,0.0013015406046929226
G12,39,6.430747005609205E-4
G12,37,0.0017055416424482529
G12,38,0.001045410038410576
G12,43,4.0625691228500147E-4
G12,42,7.187245209535548E-4
G12,41,0.5327266234203872
G12,40,2.3453469546324304E-4
G12,22,0.002673318070787059
G12,23,0.012275621645560236
G12,24,0.0011708444059381179
G12,25,0.003060007901314734
G12,26,0.0011641116078934875
G12,27,4.7693448335145146E-4
G12,28,0.001666811523046741
G12,29,0.0023888483092074967
G12,3,0.008087839146108066
G12,2,5.146512390363032E-4
G12,1,5.602653855701585E-4
G12,0,0.0032762653263143124
G12,30,0.0059588336078537614
G12,7,0.0013165087216937348
G12,6,0.002738828908675811
G12,32,0.0035056824907293157
G12,5,0.003220825801563559
G12,31,1.4189946564341444E-4
G12,4,0.004371474571897086
G12,9,0.07026717239536724
G12,8,5.559661048759679E-4
G12,19,7.470982477273607E-4
G12,17,8.397016579282887E-4
G12,18,4.421988355868119E-4
G12,15,0.04609245194112332
G12,16,0.003951627883011866
G12,13,0.001095516516125503
G12,14,0.04620715180878472
G12,11,8.058819542772473E-4
G12,12,0.08588699669210023
G12,21,0.0057693730634819805
G12,20,0.020850042383082648
G12,49,0.004235879443017768
G12,48,0.006921938030794976
G12,45,7.351361441417267E-4
G12,44,3.961386489222626E-4
G12,47,2.4868227355239185E-4
G12,46,0.05861401466381261
G12,10,0.0013356686315764733
G19,35,0.06347526158335061
G19,36,7.555389627579849E-4
G19,33,0.0026692830318918344
G19,34,0.004513144235429623
G19,39,0.0015450723443818479
G19,37,0.001857432423997731
G19,38,0.0021097526658268124
G19,43,6.923399971295155E-4
G19,42,0.0036233804833746305
G19,41,0.0022721927765163748
G19,40,0.0021932868725880413
G19,22,0.0030408574131301383
G19,23,0.21388222903947066
G19,24,0.0014341317177800153
G19,25,0.01779655997042323
G19,26,0.001317570594844394
G19,27,6.804704121220256E-4
G19,28,0.0014561657013007793
G19,29,0.017025889162437215
G19,3,0.001876921000225173
G19,2,4.6181733764506425E-4
G19,1,0.002415334094225203
G19,0,0.0045455686041108835
G19,30,0.320531319394756
G19,7,0.0017796227979076052
G19,6,0.06796362720822528
G19,32,0.027355499490023714
G19,5,0.03558172790860003
G19,31,7.251494477781855E-5
G19,4,0.004719377597482826
G19,9,0.03335296743786177
G19,8,0.0011280403986897523
G19,19,0.0012816295511895593
G19,17,9.857948222127028E-4
G19,18,7.692144630556647E-4
G19,15,0.03348610310424788
G19,16,0.0138024290790687
G19,13,0.0012877838655273787
G19,14,0.08641714613138822
G19,11,0.0015842393322735538
G19,12,0.06015512482577695
G19,21,0.027826937355994424
G19,20,0.0027231988000018313
G19,49,0.006717254072740514
G19,48,0.00525316443931148
G19,45,4.0221332991859196E-4
G19,44,0.0035468741157771433
G19,47,0.0028875155235232814
G19,46,0.04584875743421835
G19,10,0.002539711292052955
G06,35,1.316747708172287E-4
G06,36,0.0097964137231972
G06,33,6.53082515902979E-4
G06,34,9.946164832086693E-4
G06,39,0.004498324181825439
G06,37,0.1004001582349977
G06,38,0.0014588043926698551
G06,43,9.375546703157208E-4
G06,42,0.0016484412044686244
G06,41,0.0035595613061633917
G06,40,4.530127726505931E-4
G06,22,0.0018999337787593126
G06,23,6.665109757447224E-4
G06,24,9.729590737513888E-4
G06,25,0.002671424653464733
G06,26,7.15497881242848E-4
G06,27,3.296813232629266E-4
G06,28,0.0012445955990160172
G06,29,0.004454139841958259
G06,3,0.0022330837690127856
G06,2,4.567049452098718E-4
G06,1,0.0051675282502563645
G06,0,4.5477758779751467E-4
G06,30,0.0018926488734337164
G06,7,0.006580154536142602
G06,6,0.028458747175346636
G06,32,0.002228340108045625
G06,5,0.0032877211484675577
G06,31,2.4937338224502296E-4
G06,4,7.575482429552418E-4
G06,9,0.002879916129954864
G06,8,0.003456672996428736
G06,19,0.003950067109049632
G06,17,0.013400912303784273
G06,18,0.0022650761058365964
G06,15,0.017327389885907738
G06,16,0.005230232537861692
G06,13,8.356523912069852E-4
G06,14,0.0014283522260647023
G06,11,4.0932280590859777E-4
G06,12,0.14064263512854486
G06,21,0.0036813371846562424
G06,20,0.0013126282272515827
G06,49,0.0014872441018783102
