silver-infovis-topics--userI.txt,lda_35_0.1_0.01,Score
I14,29,4.04626388383868E-4
I14,3,0.0034982282851687497
I14,2,8.261234132314953E-4
I14,10,0.004788728502224931
I14,1,0.0031228288042227503
I14,0,8.390782620617897E-4
I14,7,9.156963926663499E-4
I14,30,8.180075969761762E-4
I14,6,0.010985190442418555
I14,5,0.0012732067211861165
I14,32,0.19382226493074892
I14,4,0.0011952322539672696
I14,31,0.0019097464721873959
I14,9,0.0013930061013954324
I14,8,6.879109754276152E-4
I05,19,0.0034420325186710387
I05,17,0.0038744918355222966
I05,18,0.9376120925514819
I05,33,0.006605596744872701
I05,15,0.004477685035372493
I05,34,0.0032511121682152633
I05,16,0.5035481508330251
I05,13,0.0026743292495559857
I05,14,0.018231940903851725
I05,11,0.001486704868652362
I05,12,0.04099436463798325
I05,21,0.013412416546265583
I05,20,0.0029101409213410823
I05,22,0.004373327357097032
I05,23,0.0031038030438700266
I05,24,0.002410924254711474
I05,25,0.0042715870911245795
I05,26,0.004960465116094028
I05,27,0.003135181779700626
I05,28,0.0015187398442213357
I05,29,0.9483700671689018
I05,3,0.0031162030111508005
I05,2,0.047721251590728
I05,10,0.00585067374712937
I05,1,0.003166648047912202
I05,0,0.005762654105742891
I05,7,0.07012735804540711
I05,30,0.03317301276435743
I05,6,0.0014080237013498924
I05,5,0.0038854631406208635
I05,32,0.014214746290836817
I05,4,0.006422163679418466
I05,31,0.33962790157063516
I05,9,0.0020870046921772486
I05,8,0.008247517692196756
I15,19,0.0020606256381001933
I15,17,0.0214345616655817
I15,18,8.187594172721678E-4
I15,33,0.0023126346156239325
I15,15,0.002858351663741376
I15,34,0.005879789592942646
I15,16,0.0017569564317753135
I15,13,0.10009029362373671
I15,14,0.039396845778627405
I15,11,0.0021288269130866617
I15,12,0.005504716000393995
I15,21,0.0016427192646818545
I15,20,0.18629538674733115
I15,22,0.0026943963571915476
I15,23,0.9500469060250013
I15,24,0.0042508872767203
I15,25,0.05277660069764554
I15,26,0.012092896994688839
I15,27,0.0014441752892180983
I15,28,5.692597465699374E-4
I15,29,5.390701843117415E-4
I15,3,0.0038361388902537
I15,2,0.002533682766371102
I15,10,0.12135906505118611
I15,1,7.529172780764026E-4
I15,0,4.660435922546061E-4
I15,7,0.001632860028501579
I15,30,0.002544837357282078
I15,6,7.409669406783152E-4
I15,5,0.002668774480193348
I15,32,0.0025957491422265665
I15,4,0.027058678673128684
I15,31,0.0012250935819661459
I15,9,0.001799256379521321
I15,8,0.0014141469109064822
I06,19,0.0023692350348824887
I06,17,0.32379697770040783
I06,18,0.14120303381698962
I06,33,0.13716894722138062
I06,15,0.0024722942557989023
I06,34,0.3394024109085454
I06,16,0.02258724177649282
I06,13,0.0063896146507197715
I06,14,0.035883782714165244
I06,11,0.00421945501376133
I06,12,0.499981904507112
I06,21,0.003635009663202912
I06,20,0.027380239632696188
I06,22,5.171750852274273E-4
I06,23,0.0018494811259743887
I06,24,0.002766849980887085
I06,25,0.005918980761141549
I06,26,0.0016497764827525245
I06,27,0.0024756337826396615
I06,28,0.011557257117446986
I06,29,0.005679063491247961
I06,3,0.13565479601519848
I06,2,0.0029094762069946985
I06,10,0.035714684095989324
I06,1,0.006330227351831871
I06,0,0.0575240767408788
I06,7,0.006498014679811888
I06,30,0.003765924647413466
I06,6,9.747559917798449E-4
I06,5,0.002634823822581192
I06,32,0.002947814729959863
I06,4,0.1809882679716501
I06,31,0.023570237311129578
I06,9,0.003029512588001422
I06,8,0.0010548897076336709
I08,19,0.0018126459923394878
I08,17,0.0011409952609771946
I08,18,0.002755072614197151
I08,33,0.00662733373788974
I08,15,0.005015925595856631
I08,34,0.010510443243857595
